"title","authors","year","volume","issue","doi","human_self_report","human_behavior","human_neurophysiological","dictionary_self_report","dictionary_behavior","dictionary_neurophysiological"
"Hate speech as an indicator for the state of the society","Schaefer et al.",2022,34,1,"https://doi.org/10.1027/1864-1105/a000294",1,0,0,1,0,0
"How humorous posts influence engagement with political posts on social media","Heiss",2022,34,1,"https://doi.org/10.1027/1864-1105/a000297",1,0,0,1,1,0
"Exaggerated and Questioning Clickbait Headlines and Their Influence on Media Learning","Carcioppolo et al.",2022,34,1,"https://doi.org/10.1027/1864-1105/a000298",1,0,0,1,1,0
"Danger, sex, and everything else","Cores-Sarria et al.",2022,34,1,"https://doi.org/10.1027/1864-1105/a000295",0,0,0,1,0,0
"Social media posting anxiety","Shabahang et al.",2022,34,1,"https://doi.org/10.1027/1864-1105/a000300",1,0,0,1,0,0
"Links Between Exposure to Sexualized Instagram Images and Body Image Concerns in Girls and Boys","Skowronski et al.",2022,34,1,"https://doi.org/10.1027/1864-1105/a000296",1,0,0,1,0,0
"Social judgments, social media, and self-deprecation","Austin et al., ",2022,34,3,"https://doi.org/10.1027/1864-1105/a000299",1,0,0,1,0,0
"Understanding mechanisms of media use for the social sharing of emotion","Choi et al.",2022,34,3,"https://doi.org/10.1027/1864-1105/a000301",1,0,0,1,0,0
"Forced versus selective exposure","Dahlgren",2022,34,3,"https://doi.org/10.1027/1864-1105/a000302",1,0,0,1,0,0
"Narrative Media’s Emphasis on Distinct Moral Intuitions Alters Early Adolescents’ Judgments","Hahn et al.",2022,34,3,"https://doi.org/10.1027/1864-1105/a000307",1,0,0,1,0,0
"When posting is believing","Winter et al.",2022,34,3,"https://doi.org/10.1027/1864-1105/a000308",1,0,0,1,0,0
"Avatar-based self-influence in a traditional CMC environment","Beya et al.",2022,34,4,"https://doi.org/10.1027/1864-1105/a000309",1,1,0,1,1,0
"Can narratives increase compliance","Wang et al.",2022,34,4,"https://doi.org/10.1027/1864-1105/a000311",1,1,0,1,0,0
"Attitude-Consistent Health Messages About Electronic Cigarettes Increase Processing Time","Wilcox et al.",2022,34,4,"https://doi.org/10.1027/1864-1105/a000312",1,1,0,1,1,0
"“Don’t Give Up!”","Velez et al.",2022,34,4,"https://doi.org/10.1027/1864-1105/a000313",1,1,0,1,1,0
"Credible influencers","Johnson et al.",2022,34,4,"https://doi.org/10.1027/1864-1105/a000310",1,0,0,1,1,0
"The persuasive effect of product placements","Kaur et al.",2022,34,5,"https://doi.org/10.1027/1864-1105/a000318",1,0,0,1,1,0
"The buffer effect","Tretter et al.",2022,34,5,"https://doi.org/10.1027/1864-1105/a000320",1,0,0,1,0,0
"The Relationship Between Facebook Intrusion and Self-Control Dimensions Among Facebook Users","Cudo et al.",2022,34,5,"https://doi.org/10.1027/1864-1105/a000322",1,0,0,1,0,0
"Moral minds in gaming","Holl et al.",2022,34,5,"https://doi.org/10.1027/1864-1105/a000323",0,0,0,1,0,0
"Do we judge fiction by the author's gender?","Ivanski et al.",2022,34,5,"https://doi.org/10.1027/1864-1105/a000319",1,0,0,1,0,0
"Smartphone use and well-being in two contexts","O'Toole",2022,34,5,"https://doi.org/10.1027/1864-1105/a000321",1,0,0,1,0,0
"Touched by Tragedy","Das et al.",2022,34,6,"https://doi.org/10.1027/1864-1105/a000329",1,0,0,1,0,0
"The impact of giving feedback in online discussions","Naab",2022,34,6,"https://doi.org/10.1027/1864-1105/a000330",1,1,0,1,1,0
"Beyond content","Huang et al.",2022,34,6,"https://doi.org/10.1027/1864-1105/a000331",1,0,0,1,0,0
"An enjoyable story, a persuasive story","Lee et al.",2022,34,6,"https://doi.org/10.1027/1864-1105/a000332",1,0,0,1,0,0
"An Experience Sampling Study on the Association Between Social Media Use and Self-Esteem","Miljeteig",2022,34,6,"https://doi.org/10.1027/1864-1105/a000333",1,0,0,1,0,0
"Binge-watching, self-determination, and well-being","Erdmann et al.",2022,34,6,"https://doi.org/10.1027/1864-1105/a000334",1,0,0,1,0,0
"Measuring gratification from and consequences of likes","Shabahang et al.",2022,34,6,"https://doi.org/10.1027/1864-1105/a000328",1,0,0,1,0,1
